{ועדת המשנה למאבק בסחר בנשים ובזנות	 
 ועדת החוץ והביטחון	 datetime.date(2017, 2, 20)
 הועדה משותפת בנושא נפגעים באירועי ספורט המוניים וגל אירועי גזענות ואלימות בספורט	 
 הוועדה המיוחדת לדיון בהצעה לסדר היום בנושא קשיים ברפורמה בשירות המדינה	 datetime.date(2016, 6, 29)
 הוועדה המיוחדת לדיון בהצ"ח התכנון והבנייה (תיקון - פיצול דירות)
 בהצ"ח בעניין תקופת לידה והורות ובהצ"ח התכנון והבנייה (תיקון-דיור בהישג יד) (פ/3029) 	 datetime.date(2017, 2, 21)
 ועדה משותפת לתקציב הביטחון	 
 ועדה משותפת לעניין חוק נכסים של נספי שואה	 
 ועדת המשנה לחינוך בלתי פורמלי	 
 ועדת המשנה ללוחמה משפטית	 
 ועדת המשנה לנושא ביטחון, יחסי חוץ וקשרי מסחר בינלאומיים	 
 ועדה משותפת לוועדת החוקה, חוק ומשפט וועדת החוץ והביטחון לפי סעיף 4(ה) לחוק האזנת סתר	 
 ועדת הכלכלה	 datetime.date(2017, 2, 27)
 ועדת המשנה לנושא קידום טכנולוגיות לאנרגיה מתחדשת - פיקוח ומעקב אחר יישום החלטות ועידת פריז	 datetime.date(2017, 1, 18)
 ועדה משותפת של ועדת החוקה, חוק ומשפט, ועדת הפנים והגנת הסביבה וועדת המדע והטכנולוגיה לפי חוק אמצעי זיהוי ביומטריים	 
 ועדה לענייני ביקורת המדינה	 datetime.date(2017, 2, 27)
 ועדת משנה לתחבורה ציבורית	 datetime.date(2017, 1, 30)
 ועדת המשנה לבחינת מוכנות העורף במצבי חירום	 
 ועדה משותפת של ועדת המדע וועדת החוקה, חוק ומשפט, לפי חוק פיקוח אלקטרוני על עצור ועל אסיר משוחרר על תנאי	 
 ועדת משנה לצער בעלי חיים	 
 ועדת המשנה לביטוח	 
 ועדת משנה לנושא הספקת גז טבעי לתעשייה, בראשות חה"כ אבישי ברוורמן	 
 ועדה משותפת כלכלה ופנים לדיון בהצ"ח תאגידי מים וביוב	 
 הוועדה המשותפת לנושא סביבה ובריאות	 
 ועדת משנה לנושא כבאות והצלה 	 datetime.date(2017, 1, 10)
 ועדת המשנה לעסקים קטנים ובינוניים	 
 ועדה מיוחדת לפניות הציבור	 datetime.date(2017, 2, 27)
 ועדת הכנסת	 datetime.date(2017, 3, 6)
 ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי (תיקון)
 התשע"ה-2015 	 datetime.date(2015, 8, 30)
 ועדת משנה למאבק בסחר בנשים	 datetime.date(2010, 7, 7)
 ועדת משנה לבטיחות בדרכים	 datetime.date(2016, 12, 19)
 פרק י\ (תשתיות להולכה ולאחסון של נפט)
 מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017 ו-2018)
 התשע"ז-2016	 
 ועדת משנה לנושא תשתיות התעופה האזרחית בישראל, הבינלאומית והפנים-ארצית בראשות ח"כ יצחק וקנין	 
 ועדת המשנה למודיעין, שירותים חשאיים ושבויים ונעדרים	 
 "הוועדה המיוחדת לדיון בהצעת חוק-יסוד	 הממשלה (תיקון מס 3 והוראת שעה לכנסת ה-20)"	 
 ועדה משותפת לוועדת החוקה, חוק ומשפט ולוועדת הכספים לפי חוק ביטוח רכב מנועי	 
 ועדת משנה לחינוך בלתי פורמלי	 datetime.date(2016, 11, 28)
 ועדת  המדע  והטכנולוגיה	 datetime.date(2017, 2, 20)
 ועדת המשנה לנושא החלל	 
 ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי	 datetime.date(2014, 7, 28)
 ועדת המשנה למדיניות חוץ והסברה	 
 ועדת המשנה לספורט	 
 ועדת האתיקה	 
 ועדת המשנה למאבק בהון השחור	 
 ועדה משותפת לדיון בהצעת חוק למניעת הטרדה מינית (תיקון - העברת נטל ההוכחה במקרה של פיטורין בשל הגשת תלונה על הטרדה מינית)
 התשע"ג-2013	 
 ועדה משותפת לוועדה המיוחדת לדיון בהצעות חוק הרשות הממשלתית להתחדשות עירונית, הצ"ח שירותים פיננסיים והצ"ח לתיקון פקודת מס הכנסה ולוועדת הכלכלה	 
 ועדת המשנה לטיפול ולתקצוב נושא השמיטה	 
 ועדת משנה לתקנות חוק שוויון זכויות לאנשים עם מוגבלות	 datetime.date(2017, 1, 17)
 ועדת המשנה להגנה בסייבר	 
 ועדת משנה לפיקוח על יישום חוק קידום התחרות בענף המזון בראשות חבר הכנסת יעקב אשר	 
 ועדה משותפת חוץ וביטחון ופנים לדיון בהארכת תוקף חוק האזרחות והכניסה לישראל	 
 ועדת החוקה, חוק ומשפט	 datetime.date(2017, 3, 1)
 ועדת העלייה, הקליטה והתפוצות	 datetime.date(2017, 2, 15)
 ועדת המשנה לבחינה ומעקב אחר הפקת גז ונפט בטכנולוגיות לא קונבנציונליות ומתחדשות	 datetime.date(2017, 1, 31)
 הוועדה המסדרת	 datetime.date(2015, 4, 15)
 ועדה משותפת לדיון בהצעת חוק מימון מפלגות (תיקון - הגדרת גוף פעיל בבחירות) התשע"ו-2016 (פ/2785/20) של ועדת הכנסת וועדת החוקה חוק ומשפט	 
 ועדת משנה לקידום אנרגיה ירוקה בראשות חבר הכנסת חנא סוויד	 
 ועדת משנה לנושא	 פנסיה בקיבוץ המתחדש  	 
 ועדת משנה לענייני תכנון ובנייה ברשויות הדרוזיות	 
 ועדת המשנה לתכנון לאומי	 
 ועדה מסדרת	 datetime.date(2015, 5, 26)
 ועדת המשנה לכח אדם בצה”ל 	 
 ועדת המשנה לעניין מעקב אחר ניתוק החקיקה ממצב חירום	 
 ועדה משותפת לוועדת החוקה והמדע לדיון בהצעות חוק בנושא הסרת תוכן שפרסומו מהווה עבירה מרשת האינטרנט	 
 ועדת חקירה פרלמנטרית בנושא קליטת עובדים ערבים בשירות הציבורי	 datetime.date(2012, 6, 25)
 הוועדה המיוחדת לצדק חלוקתי ולשוויון חברתי	 
 ועדת המשנה לנושאים ביטחוניים ואזרחיים ביהודה ושומרון  	 
 ועדת המשנה לעניין אישור צו העונשין 	 
 ועדה משותפת לוועדת הכלכלה ולוועדת החינוך, התרבות והספורט לפי חוק הרשות השניה לטלוויזיה ורדיו	 
 ועדת משנה לעניין מעמד הקשיש	 datetime.date(2017, 1, 24)
 ועדת המשנה לעניין ציר עוקף חוסן	 
 הוועדה המשותפת לוועדת הכלכלה ולוועדה לקידום מעמד האישה בהתאם לחוק זכויות הדייר בדיור הציבורי	 
 ועדת המשנה לעניין בטיחות בעבודה בענף הבנין	 
 ועדה משותפת של ועדת הכספים וועדת העבודה לדיון בסעיפים 31 ו-32 בהצ"ח ההתייעלות הכלכלית לשנות התקציב 2015 ו-2016	 
 ועדה משותפת חו"ב וכספים לנושא פרק ה, סעיפים 30 עד 41 (עקרונות לקביעת תקציב הביטחון)	 
 ועדה משותפת חוץ וביטחון-חוקה לעניין הצורך להכריז על מצב חירום	 
 ועדת המשנה למגזר ערבי	 
 ועדת משנה לעניין הרפורמה בבריאות הנפש	 
 ועדת משנה לדיון בהמלצות לשינויים בתנאי חברי הכנסת והיועצים הפרלמנטריים	 
 ועדת משנה לקידום עסקים קטנים ובינוניים	 
 ועדה משותפת של ועדת החוץ והביטחון וועדת החוקה, חוק ומשפט בהתאם לחוק שירות ביטחון - פטור מטעמי הכרה דתית\r\n	 
 ועדה משותפת לדיון בהצעות חוק הביטוח הלאומי (חישוב דמי לידה למבוטחת עצמאית)
 התשע"ד-2014	 
 ועדת המשנה לבחינת מוכנות העורף 	 
 ועדה מיוחדת ליישום הנגשת המידע הממשלתי ועקרונות שקיפותו לציבור	 datetime.date(2017, 2, 15)
 ועדה משותפת לוועדת העבודה, הרווחה והבריאות וועדת החוץ והביטחון לפי חוק השירות הלאומי-אזרחי, התשע"ד-2014	 
 ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול	 datetime.date(2017, 2, 21)
 הוועדה המיוחדת לדיון בהצעת חוק הרשות הממשלתית להתחדשות עירונית ובסעיפים מהצעת חוק התכנית הכלכלית	 datetime.date(2015, 10, 13)
 ועדת משנה של ועדת הכנסת לדיון בנושא	 ייצוג הכנסת על ידי חברי כנסת ושרים לשעבר בטכסי זיכרון לחללי מערכות ישראל ולנפגעי פעולות האיבה	 
 ועדה לקידום מעמד האישה ולשוויון מגדרי	 datetime.date(2017, 1, 25)
 ועדת הפנים והגנת הסביבה	 datetime.date(2017, 2, 27)
 ועדת החינוך, התרבות והספורט	 datetime.date(2017, 2, 15)
 ועדה מיוחדת לבעיית העובדים הזרים	 datetime.date(2014, 12, 1)
 (!!!INVALID!!!) ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול (!!!INVALID!!!)	 
 ועדת משנה לבדיקת סוגיות תכנון וסביבה במפרץ חיפה	 
 ועדת הכספים	 datetime.date(2017, 2, 21)
 ועדת משנה לבחינת בעיית העובדים הזרים  	 
 Plenum	 datetime.date(2017, 3, 15)
 ועדה משותפת לוועדה המיוחדת להתחדשות עירונית ולוועדת החוקה בהצעת חוק פינוי בינוי (פיצויים)(תיקון מס 4	 datetime.date(2017, 2, 21)
 ועדת המשנה לעניין בדיקת תשלומי מזונות מהמוסד לביטוח לאומי	 
 ועדה משותפת כלכלה - כספים לקידום התחרות בענף המזון	 
 ועדה מיוחדת לזכויות הילד	 datetime.date(2017, 2, 15)
 ועדת המשנה לעניין תוכנית "מעגלי תעסוקה" של משרד הכלכלה	 
 ועדה משותפת לתקציב הכנסת	 datetime.date(2016, 12, 7)
 ועדה משותפת לוועדת הפנים והגנת הסביבה וועדת הכלכלה לדיון בהצעת חוק המים (תיקון מספר 27)
 התשע"ו-2016 (מ/1008) 	 
 ועדת המשנה למוכנות ולביטחון שוטף	 
 ועדה משותפת של ועדת חוקה חוק ומשפט, ועדת החוץ והביטחון לדיון בהצ"ח הסדרת ההתיישבות ביהודה והשומרון (פ/3459/20)	 
 ועדת המשנה לעניין צו העונשין (עניין סודי) התשע"ו (2016 - צו קצא"א)	 
 ועדת משנה לטיפול בצעירים וצעירות חסרי בית	 
 ועדה מיוחדת לפרשת היעלמותם של ילדי תימן, מזרח והבלקן	 datetime.date(2017, 2, 8)
 ועדת המשנה לבחינת הגורמים למחסור במזון בתקופת החגים	 
 ועדת העבודה, הרווחה והבריאות	 datetime.date(2017, 2, 27)
 ועדת המשנה למאבק בתאונות דרכים בראשות חבר הכנסת דוד צור 	 
 ועדה מיוחדת לדיון בהצעת החוק בעניין השוויון בנטל בשירות הצבאי, בשירות האזרחי ובשוק העבודה ולהסדרת מעמדם של תלמידי הישיבות	 datetime.date(2014, 3, 5)
 ועדת המשנה לענין תקנות ניירות ערך (זירת סוחר לחשבונו העצמי)	 
 ועדה משותפת לוועדת החוקה וחו"ב לדיון בהצעות חוק ההסדרה	 datetime.date(2016, 11, 30)
 ועדה משותפת של ועדת העבודה הרווחה והבריאות וועדת העליה, הקליטה והתפוצות לדיון בהצעת חוק לתיקון פקודת רופאי השיניים (מספר 6) 	 
 "וועדה מיוחדת לדיון בהצעת חוק-יסוד	 הממשלה (תיקון מס 3 והוראת שעה לכנסת ה-20)"	 datetime.date(2015, 5, 12)}
>>> print(x)
{ועדת המשנה למאבק בסחר בנשים ובזנות	 
 ועדת החוץ והביטחון	 datetime.date(2017, 2, 20)
 הועדה משותפת בנושא נפגעים באירועי ספורט המוניים וגל אירועי גזענות ואלימות בספורט	 
 הוועדה המיוחדת לדיון בהצעה לסדר היום בנושא קשיים ברפורמה בשירות המדינה	 datetime.date(2016, 6, 29)
 הוועדה המיוחדת לדיון בהצ"ח התכנון והבנייה (תיקון - פיצול דירות)
 בהצ"ח בעניין תקופת לידה והורות ובהצ"ח התכנון והבנייה (תיקון-דיור בהישג יד) (פ/3029) 	 datetime.date(2017, 2, 21)
 ועדה משותפת לתקציב הביטחון	 
 ועדה משותפת לעניין חוק נכסים של נספי שואה	 
 ועדת המשנה לחינוך בלתי פורמלי	 
 ועדת המשנה ללוחמה משפטית	 
 ועדת המשנה לנושא ביטחון, יחסי חוץ וקשרי מסחר בינלאומיים	 
 ועדה משותפת לוועדת החוקה, חוק ומשפט וועדת החוץ והביטחון לפי סעיף 4(ה) לחוק האזנת סתר	 
 ועדת הכלכלה	 datetime.date(2017, 2, 27)
 ועדת המשנה לנושא קידום טכנולוגיות לאנרגיה מתחדשת - פיקוח ומעקב אחר יישום החלטות ועידת פריז	 datetime.date(2017, 1, 18)
 ועדה משותפת של ועדת החוקה, חוק ומשפט, ועדת הפנים והגנת הסביבה וועדת המדע והטכנולוגיה לפי חוק אמצעי זיהוי ביומטריים	 
 ועדה לענייני ביקורת המדינה	 datetime.date(2017, 2, 27)
 ועדת משנה לתחבורה ציבורית	 datetime.date(2017, 1, 30)
 ועדת המשנה לבחינת מוכנות העורף במצבי חירום	 
 ועדה משותפת של ועדת המדע וועדת החוקה, חוק ומשפט, לפי חוק פיקוח אלקטרוני על עצור ועל אסיר משוחרר על תנאי	 
 ועדת משנה לצער בעלי חיים	 
 ועדת המשנה לביטוח	 
 ועדת משנה לנושא הספקת גז טבעי לתעשייה, בראשות חה"כ אבישי ברוורמן	 
 ועדה משותפת כלכלה ופנים לדיון בהצ"ח תאגידי מים וביוב	 
 הוועדה המשותפת לנושא סביבה ובריאות	 
 ועדת משנה לנושא כבאות והצלה 	 datetime.date(2017, 1, 10)
 ועדת המשנה לעסקים קטנים ובינוניים	 
 ועדה מיוחדת לפניות הציבור	 datetime.date(2017, 2, 27)
 ועדת הכנסת	 datetime.date(2017, 3, 6)
 ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי (תיקון)
 התשע"ה-2015 	 datetime.date(2015, 8, 30)
 ועדת משנה למאבק בסחר בנשים	 datetime.date(2010, 7, 7)
 ועדת משנה לבטיחות בדרכים	 datetime.date(2016, 12, 19)
 פרק י\ (תשתיות להולכה ולאחסון של נפט)
 מתוך הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017 ו-2018)
 התשע"ז-2016	 
 ועדת משנה לנושא תשתיות התעופה האזרחית בישראל, הבינלאומית והפנים-ארצית בראשות ח"כ יצחק וקנין	 
 ועדת המשנה למודיעין, שירותים חשאיים ושבויים ונעדרים	 
 "הוועדה המיוחדת לדיון בהצעת חוק-יסוד	 הממשלה (תיקון מס 3 והוראת שעה לכנסת ה-20)"	 
 ועדה משותפת לוועדת החוקה, חוק ומשפט ולוועדת הכספים לפי חוק ביטוח רכב מנועי	 
 ועדת משנה לחינוך בלתי פורמלי	 datetime.date(2016, 11, 28)
 ועדת  המדע  והטכנולוגיה	 datetime.date(2017, 2, 20)
 ועדת המשנה לנושא החלל	 
 ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי	 datetime.date(2014, 7, 28)
 ועדת המשנה למדיניות חוץ והסברה	 
 ועדת המשנה לספורט	 
 ועדת האתיקה	 
 ועדת המשנה למאבק בהון השחור	 
 ועדה משותפת לדיון בהצעת חוק למניעת הטרדה מינית (תיקון - העברת נטל ההוכחה במקרה של פיטורין בשל הגשת תלונה על הטרדה מינית)
 התשע"ג-2013	 
 ועדה משותפת לוועדה המיוחדת לדיון בהצעות חוק הרשות הממשלתית להתחדשות עירונית, הצ"ח שירותים פיננסיים והצ"ח לתיקון פקודת מס הכנסה ולוועדת הכלכלה	 
 ועדת המשנה לטיפול ולתקצוב נושא השמיטה	 
 ועדת משנה לתקנות חוק שוויון זכויות לאנשים עם מוגבלות	 datetime.date(2017, 1, 17)
 ועדת המשנה להגנה בסייבר	 
 ועדת משנה לפיקוח על יישום חוק קידום התחרות בענף המזון בראשות חבר הכנסת יעקב אשר	 
 ועדה משותפת חוץ וביטחון ופנים לדיון בהארכת תוקף חוק האזרחות והכניסה לישראל	 
 ועדת החוקה, חוק ומשפט	 datetime.date(2017, 3, 1)
 ועדת העלייה, הקליטה והתפוצות	 datetime.date(2017, 2, 15)
 ועדת המשנה לבחינה ומעקב אחר הפקת גז ונפט בטכנולוגיות לא קונבנציונליות ומתחדשות	 datetime.date(2017, 1, 31)
 הוועדה המסדרת	 datetime.date(2015, 4, 15)
 ועדה משותפת לדיון בהצעת חוק מימון מפלגות (תיקון - הגדרת גוף פעיל בבחירות) התשע"ו-2016 (פ/2785/20) של ועדת הכנסת וועדת החוקה חוק ומשפט	 
 ועדת משנה לקידום אנרגיה ירוקה בראשות חבר הכנסת חנא סוויד	 
 ועדת משנה לנושא	 פנסיה בקיבוץ המתחדש  	 
 ועדת משנה לענייני תכנון ובנייה ברשויות הדרוזיות	 
 ועדת המשנה לתכנון לאומי	 
 ועדה מסדרת	 datetime.date(2015, 5, 26)
 ועדת המשנה לכח אדם בצה”ל 	 
 ועדת המשנה לעניין מעקב אחר ניתוק החקיקה ממצב חירום	 
 ועדה משותפת לוועדת החוקה והמדע לדיון בהצעות חוק בנושא הסרת תוכן שפרסומו מהווה עבירה מרשת האינטרנט	 
 ועדת חקירה פרלמנטרית בנושא קליטת עובדים ערבים בשירות הציבורי	 datetime.date(2012, 6, 25)
 הוועדה המיוחדת לצדק חלוקתי ולשוויון חברתי	 
 ועדת המשנה לנושאים ביטחוניים ואזרחיים ביהודה ושומרון  	 
 ועדת המשנה לעניין אישור צו העונשין 	 
 ועדה משותפת לוועדת הכלכלה ולוועדת החינוך, התרבות והספורט לפי חוק הרשות השניה לטלוויזיה ורדיו	 
 ועדת משנה לעניין מעמד הקשיש	 datetime.date(2017, 1, 24)
 ועדת המשנה לעניין ציר עוקף חוסן	 
 הוועדה המשותפת לוועדת הכלכלה ולוועדה לקידום מעמד האישה בהתאם לחוק זכויות הדייר בדיור הציבורי	 
 ועדת המשנה לעניין בטיחות בעבודה בענף הבנין	 
 ועדה משותפת של ועדת הכספים וועדת העבודה לדיון בסעיפים 31 ו-32 בהצ"ח ההתייעלות הכלכלית לשנות התקציב 2015 ו-2016	 
 ועדה משותפת חו"ב וכספים לנושא פרק ה, סעיפים 30 עד 41 (עקרונות לקביעת תקציב הביטחון)	 
 ועדה משותפת חוץ וביטחון-חוקה לעניין הצורך להכריז על מצב חירום	 
 ועדת המשנה למגזר ערבי	 
 ועדת משנה לעניין הרפורמה בבריאות הנפש	 
 ועדת משנה לדיון בהמלצות לשינויים בתנאי חברי הכנסת והיועצים הפרלמנטריים	 
 ועדת משנה לקידום עסקים קטנים ובינוניים	 
 ועדה משותפת של ועדת החוץ והביטחון וועדת החוקה, חוק ומשפט בהתאם לחוק שירות ביטחון - פטור מטעמי הכרה דתית\r\n	 
 ועדה משותפת לדיון בהצעות חוק הביטוח הלאומי (חישוב דמי לידה למבוטחת עצמאית)
 התשע"ד-2014	 
 ועדת המשנה לבחינת מוכנות העורף 	 
 ועדה מיוחדת ליישום הנגשת המידע הממשלתי ועקרונות שקיפותו לציבור	 datetime.date(2017, 2, 15)
 ועדה משותפת לוועדת העבודה, הרווחה והבריאות וועדת החוץ והביטחון לפי חוק השירות הלאומי-אזרחי, התשע"ד-2014	 
 ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול	 datetime.date(2017, 2, 21)
 הוועדה המיוחדת לדיון בהצעת חוק הרשות הממשלתית להתחדשות עירונית ובסעיפים מהצעת חוק התכנית הכלכלית	 datetime.date(2015, 10, 13)
 ועדת משנה של ועדת הכנסת לדיון בנושא	 ייצוג הכנסת על ידי חברי כנסת ושרים לשעבר בטכסי זיכרון לחללי מערכות ישראל ולנפגעי פעולות האיבה	 
 ועדה לקידום מעמד האישה ולשוויון מגדרי	 datetime.date(2017, 1, 25)
 ועדת הפנים והגנת הסביבה	 datetime.date(2017, 2, 27)
 ועדת החינוך, התרבות והספורט	 datetime.date(2017, 2, 15)
 ועדה מיוחדת לבעיית העובדים הזרים	 datetime.date(2014, 12, 1)
 (!!!INVALID!!!) ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול (!!!INVALID!!!)	 
 ועדת משנה לבדיקת סוגיות תכנון וסביבה במפרץ חיפה	 
 ועדת הכספים	 datetime.date(2017, 2, 21)
 ועדת משנה לבחינת בעיית העובדים הזרים  	 
 Plenum	 datetime.date(2017, 3, 15)
 ועדה משותפת לוועדה המיוחדת להתחדשות עירונית ולוועדת החוקה בהצעת חוק פינוי בינוי (פיצויים)(תיקון מס 4	 datetime.date(2017, 2, 21)
 ועדת המשנה לעניין בדיקת תשלומי מזונות מהמוסד לביטוח לאומי	 
 ועדה משותפת כלכלה - כספים לקידום התחרות בענף המזון	 
 ועדה מיוחדת לזכויות הילד	 datetime.date(2017, 2, 15)
 ועדת המשנה לעניין תוכנית "מעגלי תעסוקה" של משרד הכלכלה	 
 ועדה משותפת לתקציב הכנסת	 datetime.date(2016, 12, 7)
 ועדה משותפת לוועדת הפנים והגנת הסביבה וועדת הכלכלה לדיון בהצעת חוק המים (תיקון מספר 27)
 התשע"ו-2016 (מ/1008) 	 
 ועדת המשנה למוכנות ולביטחון שוטף	 
 ועדה משותפת של ועדת חוקה חוק ומשפט, ועדת החוץ והביטחון לדיון בהצ"ח הסדרת ההתיישבות ביהודה והשומרון (פ/3459/20)	 
 ועדת המשנה לעניין צו העונשין (עניין סודי) התשע"ו (2016 - צו קצא"א)	 
 ועדת משנה לטיפול בצעירים וצעירות חסרי בית	 
 ועדה מיוחדת לפרשת היעלמותם של ילדי תימן, מזרח והבלקן	 datetime.date(2017, 2, 8)
 ועדת המשנה לבחינת הגורמים למחסור במזון בתקופת החגים	 
 ועדת העבודה, הרווחה והבריאות	 datetime.date(2017, 2, 27)
 ועדת המשנה למאבק בתאונות דרכים בראשות חבר הכנסת דוד צור 	 
 ועדה מיוחדת לדיון בהצעת החוק בעניין השוויון בנטל בשירות הצבאי, בשירות האזרחי ובשוק העבודה ולהסדרת מעמדם של תלמידי הישיבות	 datetime.date(2014, 3, 5)
 ועדת המשנה לענין תקנות ניירות ערך (זירת סוחר לחשבונו העצמי)	 
 ועדה משותפת לוועדת החוקה וחו"ב לדיון בהצעות חוק ההסדרה	 datetime.date(2016, 11, 30)
 ועדה משותפת של ועדת העבודה הרווחה והבריאות וועדת העליה, הקליטה והתפוצות לדיון בהצעת חוק לתיקון פקודת רופאי השיניים (מספר 6) 	 
 "וועדה מיוחדת לדיון בהצעת חוק-יסוד	 הממשלה (תיקון מס 3 והוראת שעה לכנסת ה-20)"	 datetime.date(2015, 5, 12)}